site,cam,orient,carddir,orientmerge,orientcam,orientsite,height,height_rough,heightmerge,heightcam,heightsite,vertangcam,vertangsite,model,idnumber,lat,long,northing,easting,datum,utm,inst_d,inst_m,inst_y,camrem_d,camrem_m,camrem_y,camrem,sitenew,siterem,obsplot,obsplot_northing,obsplot_easting,streampos,vdiststreamdnr,vdiststreamapp,notes
DS1,1,237,SW,237,1,1,0.36,0.25,0.36,1,1,1,1,,,45.6043750300,-61.9519530000,5050625.44927222,581728.865522663,NAD83,20N,6,6,2013,7,5,2015,0,1,0,,,,anti,11.1632123965,14.3979205267,"Two periods of no data on 10June2013-12June2013 and 18June2013-19June2013 (removed camera to download files). Non-animal photos removed from 10June2013 folder, added some back (12 and 30), but likely some gone)."
US1,2,311,NW,311,1,1,0.45,0.5,0.45,1,1,2,2,,,45.6030190100,-61.9532390300,5050473.48658885,581630.5446497,NAD83,20N,6,6,2013,16,1,2014,1,1,1,,,,anti,12.9982392436,10.4743261651,"Two periods of no data on 10June2013-12June2013 and 18June2013-19June2013 (removed camera to download files). Non-animal photos removed from 10June2013 folder, added some back (11 and 14), but likely some gone)."
DS2,3,304,NW,304,1,1,1.15,1.25,1.15,1,1,1,1,,,45.6041909700,-61.9511569700,5050605.81143492,581791.209030542,NAD83,20N,19,6,2013,7,5,2015,0,1,0,,,,sb,14.5316409113,10.8750158721,
S1,4,,E,90,1,1,0.95,1,0.95,1,1,1,1,,,45.6035859600,-61.9528689700,5050536.8510479,581658.580859171,NAD83,20N,19,6,2013,19,9,2013,1,1,1,,,,anti,13.7683147438,20.1411155814,
S2,5,,NW,315,1,1,1.15,1.25,1.15,1,1,1,1,,,45.6038100100,-61.9524470300,5050562.17234242,581691.160247332,NAD83,20N,19,6,2013,19,9,2013,1,1,1,,,,sb,12.1808799365,2.1937341105,
US2,6,,N,0,1,1,1.1,1,1.1,1,1,2,2,,,45.6028409800,-61.9531040000,5050453.84498682,581641.333262182,NAD83,20N,19,6,2013,12,7,2013,1,1,1,,,,sb,8.704489475,10.6754214389,
US3,6,,NW,315,1,1,0.45,0.5,0.45,1,0,1,2,,,45.6029760100,-61.9531080200,5050468.84282377,581640.823631744,NAD83,20N,12,7,2013,16,1,2014,1,1,0,,,,sb,2.4020413111,0.6335290262,"First installation of station. Different from US2 (>5m one axes) Images suggest installed 12July2013, no way to determine truth (likely date was set wrong on camera). Images end on 23July2013, one day before SD change. Went with camera images."
RNW1,7,,S,180,1,1,1.45,1.5,1.45,1,1,1,1,,B120611242,45.6042099900,-61.9524809700,5050606.57552153,581687.93241806,NAD83,20N,17,7,2013,19,9,2013,1,1,1,OBS RNW 0m,,,anti,9.7390676142,23.1946200839,
RNW2,8,,W,270,1,1,,1.5,1.5,1,1,1,2,,B120612502,45.6042600300,-61.9525659600,5050612.04830968,581681.231883016,NAD83,20N,17,7,2013,16,1,2014,1,1,1,OBS RNW 25m,,,anti,18.2685678284,31.712013166,First install of station.
RNW3,9,,SW,225,1,1,,1.5,1.5,1,1,1,1,119447,B120611224,45.6044000100,-61.9528070300,5050627.35411305,581662.23010318,NAD83,20N,17,7,2013,16,1,2014,1,1,1,OBS RNW 50m,,,anti,42.4678600165,55.9697411744,
RNW4,10,,SW,225,1,0,,1.25,1.25,1,1,1,1,,B120612501,45.6045689900,-61.9530259600,5050645.90452381,581644.911942239,NAD83,20N,17,7,2013,16,1,2014,1,1,0,OBS RNW 75m,,,anti,67.4302934615,80.9154096823,
RSW1,11,,E,90,1,1,1.1,1,1.1,1,0,1,0,,B120611002,45.6033770000,-61.9528880000,5050513.61638531,581657.40026165,NAD83,20N,17,7,2013,19,9,2013,1,1,0,OBS RSW 0m,,,anti,5.7757602633,12.0408889252,
RSW2,12,,NE,45,1,1,,1,1,1,1,1,1,,B120610973,45.6033879800,-61.9530269700,5050514.69475839,581646.546822233,NAD83,20N,17,7,2013,16,1,2014,1,1,0,OBS RSW 25m,,,anti,16.5670842046,22.7025899553,
RSW3,13,,NE,45,1,0,,1.5,1.5,1,1,1,1,,B120612563,45.6035700300,-61.9532920000,5050534.65098108,581625.614384358,NAD83,20N,17,7,2013,16,1,2014,1,1,0,OBS RSW 50m,,,anti,41.9866022092,48.8508020112,
RSW4,14,,SE,135,2,1,,1.25,1.25,1,1,1,2,,B120610952,45.6036690300,-61.9535260300,5050545.41045885,581607.221012382,NAD83,20N,17,7,2013,16,1,2014,1,1,0,OBS RSW 75m,,,anti,63.0784211794,69.9889478086,
RSE1,15,,N,0,2,0,1.25,1.25,1.25,1,0,1,0,119447,B120612511,45.6032719700,-61.9527139900,5050502.12544363,581671.122433342,NAD83,20N,17,7,2013,19,9,2013,1,1,0,OBS RSE 0m,,,sb,9.0196774318,4.5431786388,
RSE2,16,,NE,45,2,0,1.4,1.5,1.4,1,0,1,0,,B120610982,45.6031579800,-61.9526429900,5050489.53318592,581676.82428752,NAD83,20N,17,7,2013,16,1,2014,1,1,1,OBS RSE 25m,,,sb,18.3804276751,13.7708798572,
