cam,site,location,purpose,streamside,instdate,remdatefill,FileName,folderdateend
1,DS1,downstream,general,anti,06/06/13,05/07/15,EK000017.JPG,11/14/13
1,DS1,downstream,general,anti,06/06/13,05/07/15,EK000018.JPG,11/14/13
1,DS1,downstream,general,anti,06/06/13,05/07/15,EK000019.JPG,11/14/13
1,DS1,downstream,general,anti,06/06/13,05/07/15,on setup.txt,05/20/14
1,DS1,downstream,general,anti,06/06/13,05/07/15,EK000001.JPG,07/08/14
1,DS1,downstream,general,anti,06/06/13,05/07/15,EK000002.JPG,07/08/14
1,DS1,downstream,general,anti,06/06/13,05/07/15,EK000003.JPG,07/08/14
10,RNW4,transect,transect,anti,01/17/14,02/04/14,EK001885.JPG,02/04/14
10,RNW4,transect,transect,anti,01/17/14,02/04/14,EK001886.JPG,02/04/14
10,RNW4,transect,transect,anti,01/17/14,02/04/14,EK001887.JPG,02/04/14
10,RNW4,transect,transect,anti,01/17/14,02/04/14,EK001888.JPG,02/04/14
35,RNW4,transect,transect,anti,02/04/14,05/07/15,PICT0132.JPG,05/07/15
35,RNW4,transect,transect,anti,02/04/14,05/07/15,PICT0133.JPG,05/07/15
35,RNW4,transect,transect,anti,02/04/14,05/07/15,PICT0134.JPG,05/07/15
35,RNW4,transect,transect,anti,02/04/14,05/07/15,PICT0135.JPG,05/07/15
24,DS4,downstream,general,sb,07/24/13,01/16/14,PICT0097.JPG,01/01/14
24,DS4,downstream,general,sb,07/24/13,01/16/14,PICT0098.JPG,01/01/14
24,DS4,downstream,general,sb,07/24/13,01/16/14,PICT0099.JPG,01/01/14
27,DS4,downstream,general,sb,04/02/14,12/15/14,EK000001.JPG,03/10/14
27,DS4,downstream,general,sb,04/02/14,12/15/14,EK000002.JPG,03/10/14
27,DS4,downstream,general,sb,04/02/14,12/15/14,EK000003.JPG,03/10/14
