,cam,site,location,purpose,streamside,instdate,remdatefill,FileName,DateTimeOriginal,folderdateend,folderdatestart
1,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000001.JPG,2013-10-24 10:12:05,2013-11-14,NA
2,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000002.JPG,2013-10-24 10:12:33,2013-11-14,NA
3,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000003.JPG,2013-10-24 10:18:38,2013-11-14,NA
4,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000004.JPG,2013-10-26 05:27:50,2013-11-14,NA
5,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000005.JPG,2013-10-26 05:28:46,2013-11-14,NA
6,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000006.JPG,2013-10-26 05:29:13,2013-11-14,NA
7,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000007.JPG,2013-10-28 11:53:09,2013-11-14,NA
8,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000008.JPG,2013-10-29 03:32:41,2013-11-14,NA
9,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000009.JPG,2013-10-29 03:33:31,2013-11-14,NA
10,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000010.JPG,2013-10-29 03:34:19,2013-11-14,NA
11,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000011.JPG,2013-10-29 05:24:28,2013-11-14,NA
12,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000012.JPG,2013-10-31 13:03:23,2013-11-14,NA
13,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000013.JPG,2013-11-05 16:48:21,2013-11-14,NA
14,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000014.JPG,2013-11-10 13:09:09,2013-11-14,NA
15,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000015.JPG,2013-11-12 21:27:18,2013-11-14,NA
16,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000016.JPG,2013-11-14 12:56:15,2013-11-14,NA
17,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000017.JPG,2013-11-14 12:57:01,2013-11-14,NA
18,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000018.JPG,2013-11-14 12:57:30,2013-11-14,NA
19,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000019.JPG,2013-11-14 12:58:17,2013-11-14,NA
20,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,on setup.txt,NA,2014-05-20,2013-11-14
21,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000001.JPG,2014-06-29 12:38:40,2014-07-08,2014-05-20
22,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000002.JPG,2014-06-29 15:52:38,2014-07-08,2014-05-20
23,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000003.JPG,2014-06-30 04:42:16,2014-07-08,2014-05-20
24,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000004.JPG,2014-06-30 11:55:31,2014-07-08,2014-05-20
25,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000005.JPG,2014-07-02 12:15:17,2014-07-08,2014-05-20
26,1,DS1,downstream,general,anti,2013-06-06,2015-05-07,EK000006.JPG,2014-07-05 13:34:17,2014-07-08,2014-05-20
